Timestamp,AQI,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
01-01-2019 00:00,255,131.05,264.54,25.22,103.31,75.45,12.31,30.37,1.25,64.81,6.03,9.73,4.86,NA,NA,NA,22.46,60.45,1.41,173.82,0,0,134.42,765.27,0.03
02-01-2019 00:00,250,133.67,260.67,14.32,93.29,61.26,14.4,28.31,1.29,97.97,5.32,8.92,3.88,NA,NA,NA,22.93,68.67,1.35,163.11,0,0,110.88,765.07,0.02
03-01-2019 00:00,302,149.18,290.85,28.26,109.73,81.34,16.81,28.32,1.38,92.58,5.83,9.79,4.87,NA,NA,NA,23.4,69.64,1.25,178.22,0,0,123.34,765.59,0.03
04-01-2019 00:00,290,139.53,239.51,28.44,88.38,70.13,15.63,22.1,1.17,111.54,4.99,7.72,3.68,NA,NA,NA,23.47,72.6,1.63,164.77,0,0,113.95,765.14,0.04
05-01-2019 00:00,284,115.95,170.69,3.15,41.59,24.68,15.34,13.44,0.94,142.49,3.06,4.4,1.25,NA,NA,NA,23.9,71.41,1.79,145.39,0,0,124.6,763.01,0.04
06-01-2019 00:00,294,132.93,198,12.78,75.17,50.36,14.07,11.71,1.12,99.68,4.16,6.3,2.03,NA,NA,NA,23.53,70.65,1.61,154.36,0,0,114.32,761.09,0.04
07-01-2019 00:00,311,120.57,257.05,20.45,93.32,66.26,13.81,15.36,1.23,59.03,4.97,7.76,2.67,NA,NA,NA,23.59,67.95,1.49,181.16,0,0,119.97,758.73,0.04
08-01-2019 00:00,293,140.04,308.45,44.34,133.3,106.95,15.64,41.06,1.54,73.08,7.52,10.78,4.84,NA,NA,NA,24.01,67.34,1.18,205.05,0,0,114.49,758.43,0.01
09-01-2019 00:00,,138.08,277.66,28.62,84.4,68.17,16.15,21.04,1.33,107.93,5.02,7.85,3.25,NA,NA,NA,23.68,74.31,1.5,156.96,0,0,93.69,759.69,0.03
10-01-2019 00:00,,136.25,229.9,18.13,67.96,50.89,18.75,16.34,1.08,118.13,4.17,7,2.39,NA,NA,NA,24.02,75.42,1.85,144.36,0,0,106.61,760.27,0.06
