Timestamp,AQI,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
01-01-2023,227,114.7619792,159.8570833,,20.179375,0,,,0.494270833,19.55729167,0,0,0,,,,,,,,,0,,,
02-01-2023,336,215.2663542,301.1670833,34.79948718,19.6575,27.96583333,,,0.716666667,23.72677083,0,0,0,,,,,,,,,0,,,
03-01-2023,,213.8333333,315.0514583,15.93239583,19.37697917,35.3134375,,,1.018854167,19.2571875,0,0,0,,,,,,,,,0,,,
04-01-2023,324,149.9872917,223.713125,22.3521875,17.31875,39.66875,,,0.845,17.62375,0,0,0,,,,,,,,,0,,,
05-01-2023,330,187.2890625,281.5290625,56.62604167,20.59357639,77.04947917,,,1.333854167,15.65572917,0,0,0,,,,,,,,,0,,,
06-01-2023,378,205.5990942,358.2406522,36.55858696,25.91217391,53.40086957,,,0.697717391,12.54329545,0,0,0,,,,,,,,,0,,,
07-01-2023,345,211.4146875,339.2001042,45.35822917,25.14666667,70.50770833,,,0.215416667,8.952310606,0,0,0,,,,,,,,,0,,,
08-01-2023,374,237.0589583,322.0495833,61.13885417,19.11072917,80.24802083,,,0.5353125,5.950539216,0,0,0,,,,,,,,,0,,,
09-01-2023,413,299.3333333,374.9173958,49.09635417,22.97791667,72.03333333,,,0.9015625,1.112666667,0,0,0,,,,,,,,,0,,,
10-01-2023,391,197.388125,269.4771875,38.22302083,18.709375,56.9278125,,,0.8475,11.90691176,0,0,0,,,,,,,,,0,,,
11-01-2023,291,180.171875,267.0414583,16.19864583,28.3971875,44.6,,,0.470729167,21.53375,0,0,0,,,,,,,,,0,,,
12-01-2023,374,196.3071875,284.5228125,26.65864583,21.62979167,48.28583333,,,0.696145833,22.93552083,0,0,0,,,,,,,,,0,,,
13-01-2023,,201.1871875,278.099375,19.2075,20.02041667,39.23166667,,,0.618229167,20.58,0,0,0,,,,,,,,,0,,,
14-01-2023,,131.4378125,199.1419792,7.5696875,14.11677083,21.68666667,,,0.1721875,19.85177083,0,0,0,,,,,,,,,0,,,
15-01-2023,151,77.71979167,137.8078125,18.51395833,17.049375,35.5621875,,,0.309583333,23.475,0,0,0,,,,,,,,,0,,,
16-01-2023,247,117.2855208,194.1842708,33.67760417,23.74895833,57.42666667,,,0.484166667,21.129375,0,0,0,,,,,,,,,0,,,
17-01-2023,163,115.8366667,194.1583333,45.69875,23.73052083,69.42447917,,,0.651041667,20.60135417,0,0,0,,,,,,,,,0,,,
18-01-2023,222,135.7826786,274.8253125,79.64083333,22.76604167,102.404375,,,1.300729167,21.22427083,0,0,0,,,,,,,,,0,,,
19-01-2023,326,173.7980208,279.1372917,47.68104167,35.04791667,82.73895833,,,1.013958333,21.08770833,0,0,0,,,,,,,,,0,,,
20-01-2023,187,72.74177083,116.0969792,9.678958333,15.78572917,25.46364583,,,0.364791667,20.795625,0,0,0,,,,,,,,,0,,,
21-01-2023,270,180.1254167,265.0302083,46.2878125,25.82239583,72.10145833,,,0.796458333,20.51770833,0,0,0,,,,,,,,,0,,,
22-01-2023,383,205.8222917,291.1523958,31.30145833,23.17052083,54.47104167,,,0.776979167,19.72427083,0,0,0,,,,,,,,,0,,,
23-01-2023,315,126.9402083,206.845,62.033125,19.51270833,81.54354167,,,0.97875,18.5146875,0,0,0,,,,,,,,,0,,,
24-01-2023,,76.0146875,121.573125,25.54770833,17.58052083,43.12927083,,,0.364166667,15.06010417,0,0,0,,,,,,,,,0,,,
25-01-2023,145,88.46770833,133.3791667,31.8303125,15.9265625,47.52166667,,,0.469375,16.23427083,0,0,0,,,,,,,,,0,,,
26-01-2023,269,120.4705208,167.9320833,8.4803125,12.22666667,20.7071875,,,0.253020833,17.79729167,0,0,0,,,,,,,,,0,,,
27-01-2023,193,77.24697917,131.3185417,7.021458333,14.60416667,21.6253125,,,0.14375,26.73052083,0,0,0,,,,,,,,,0,,,
28-01-2023,,100.3003125,173.5022917,27.30916667,19.22510417,46.526875,,,0.476666667,25.83395833,0,0,0,,,,,,,,,0,,,
29-01-2023,,161.5009375,228.0863542,76.07583333,20.806875,96.87614583,,,0.991354167,16.181875,0,0,0,,,,,,,,,0,,,
30-01-2023,,65.39604167,99.43583333,48.6853125,15.49880952,61.16885417,,,0.691770833,18.74302083,0,0,0,,,,,,,,,0,,,
31-01-2023,161,68.45083333,96.09760417,30.63,9.159659091,38.03541667,,,0.449375,17.29125,0,0,0,,,,,,,,,0,,,
01-02-2023,115,66.29135417,104.2529167,7.468645833,11.6465625,19.11489583,,,0.134583333,22.04489583,0,0,0,,,,,,,,,0,,,
02-02-2023,138,64.7696875,117.4710417,7.295104167,14.71291667,22.00864583,,,0.248645833,24.23916667,0,0,0,,,,,,,,,0,,,
03-02-2023,151,89.60635417,157.9833333,26.43354167,16.58197917,43.01,,,0.547604167,22.52895833,0,0,0,,,,,,,,,0,,,
04-02-2023,NA,108.6678125,194.4744792,17.82333333,23.13427083,40.96197917,,,0.5634375,22.76989583,0,0,0,,,,,,,,,0,,,
05-02-2023,211,83.7803125,146.2838542,22.31989583,19.74583333,42.06114583,,,1.064097222,23.39364583,0,0,0,,,,,,,,,0,,,
