Timestamp,AQI,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
01-01-2022 00:00,144,72.61,101.32,11.39,3.81,15.19,45.45,3.01,0.19,29.67,NA,NA,NA,NA,NA,NA,23.98,79.2,0.48,187.52,NA,0,NA,NA,NA
02-01-2022 00:00,116,67.12,93.65,12.11,3.28,15.33,41.83,3.07,0.15,28.77,NA,NA,NA,NA,NA,NA,24.54,79.98,0.54,172.08,NA,0,NA,NA,NA
03-01-2022 00:00,125,64.9,84.91,12.07,4.11,15.38,38.6,2.69,0.17,21.13,NA,NA,NA,NA,NA,NA,23.09,85.92,0.37,168.68,NA,0,NA,NA,NA
04-01-2022 00:00,135,77.26,112.78,9.1,7.06,16.15,44.18,2.9,0.29,40.38,NA,NA,NA,NA,NA,NA,25.91,76.68,0.45,154.98,NA,0,NA,NA,NA
05-01-2022 00:00,204,101.1,122.82,10.68,6.59,17.28,50.31,3.51,0.34,29.27,NA,NA,NA,NA,NA,NA,23.99,84.98,0.38,153.77,NA,0,NA,NA,NA
06-01-2022 00:00,184,76.5,99.13,13.8,4.43,18.22,49.78,2.85,0.29,24.82,NA,NA,NA,NA,NA,NA,24.04,82.72,0.43,196.85,NA,0,NA,NA,NA
07-01-2022 00:00,239,104.2,122.77,14.8,5.44,20.12,97.82,4.97,0.32,23.71,NA,NA,NA,NA,NA,NA,22.45,89.28,0.36,153.24,NA,0,NA,NA,NA
08-01-2022 00:00,97,67.33,87.27,21.42,5.07,26.48,112.98,5.63,0.23,16.51,NA,NA,NA,NA,NA,NA,22.77,90.59,0.4,202.69,NA,0,NA,NA,NA
09-01-2022 00:00,68,NA,57.67,15.4,5.36,20.76,106.68,4.06,0.11,30.08,NA,NA,NA,NA,NA,NA,21.52,73.16,0.57,184.23,NA,0,NA,NA,NA
10-01-2022 00:00,52,NA,39.55,12.35,4.16,16.52,91.28,3.84,0.03,16.67,NA,NA,NA,NA,NA,NA,12.89,90.91,0.35,116.69,NA,0,NA,NA,NA
